dt;metric;value
2019-01-01;DAU;1541086.0
2019-01-02;DAU;1766712.0
2019-01-03;DAU;1800857.0
2019-01-04;DAU;1832445.0
2019-01-05;DAU;1871104.0
2019-01-06;DAU;1881737.0
2019-01-07;DAU;1860791.0
2019-01-08;DAU;1901930.0
2019-01-09;DAU;1934295.0
2019-01-10;DAU;1902671.0
2019-01-11;DAU;1849625.0
2019-01-12;DAU;1791531.0
2019-01-13;DAU;1689379.0
2019-01-14;DAU;1728014.0
2019-01-15;DAU;1803289.0
2019-01-16;DAU;1792127.0
2019-01-17;DAU;1921515.0
2019-01-18;DAU;1800873.0
2019-01-19;DAU;1766914.0
2019-01-20;DAU;1635604.0
2019-01-21;DAU;1675077.0
2019-01-22;DAU;1763809.0
2019-01-23;DAU;1843322.0
2019-01-24;DAU;1795387.0
2019-01-25;DAU;1791435.0
2019-01-26;DAU;1786309.0
2019-01-27;DAU;1719293.0
2019-01-28;DAU;1782135.0
2019-01-29;DAU;1902654.0
2019-01-30;DAU;1771450.0
2019-01-31;DAU;1738308.0
2019-02-01;DAU;1753652.0
2019-02-02;DAU;1738805.0
2019-02-03;DAU;1669109.0
2019-02-04;DAU;1710954.0
2019-02-05;DAU;1841876.0
2019-02-06;DAU;1832361.0
2019-02-07;DAU;1758953.0
2019-02-08;DAU;1814594.0
2019-02-09;DAU;1792923.0
2019-02-10;DAU;1749581.0
2019-02-11;DAU;1807244.0
2019-02-12;DAU;1897636.0
2019-02-13;DAU;1835721.0
2019-02-14;DAU;1786042.0
2019-02-15;DAU;1843077.0
2019-02-16;DAU;1824592.0
2019-02-17;DAU;1718938.0
2019-02-18;DAU;1816089.0
2019-02-19;DAU;1885341.0
2019-02-20;DAU;1857056.0
2019-02-21;DAU;1851930.0
2019-02-22;DAU;1836423.0
2019-02-23;DAU;1684658.0
2019-02-24;DAU;1745246.0
2019-02-25;DAU;1841055.0
2019-02-26;DAU;1916096.0
2019-02-27;DAU;1860616.0
2019-02-28;DAU;1878518.0
2019-03-01;DAU;1837514.0
2019-03-02;DAU;1838398.0
2019-03-03;DAU;1733228.0
2019-03-04;DAU;1785912.0
2019-03-05;DAU;1854635.0
2019-03-06;DAU;1821566.0
2019-03-07;DAU;1767165.0
2019-03-08;DAU;1641552.0
2019-03-09;DAU;1693719.0
2019-03-10;DAU;1762548.0
2019-03-11;DAU;1823474.0
2019-03-12;DAU;1901809.0
2019-03-13;DAU;1827080.0
2019-03-14;DAU;1811317.0
2019-03-15;DAU;1847633.0
2019-03-16;DAU;1762718.0
2019-03-17;DAU;1700725.0
2019-03-18;DAU;1744674.0
2019-03-19;DAU;1831088.0
2019-03-20;DAU;1812728.0
2019-03-21;DAU;1781595.0
2019-03-22;DAU;1789680.0
2019-03-23;DAU;1777078.0
2019-03-24;DAU;1695488.0
2019-03-25;DAU;1768041.0
2019-03-26;DAU;1822394.0
2019-03-27;DAU;1800860.0
2019-03-28;DAU;1813701.0
2019-03-29;DAU;1822712.0
2019-03-30;DAU;1813526.0
2019-03-31;DAU;1735764.0
2019-04-01;DAU;1827523.0
2019-04-02;DAU;1896762.0
2019-04-03;DAU;1863112.0
2019-04-04;DAU;1837691.0
2019-04-05;DAU;1834699.0
2019-04-06;DAU;1796671.0
2019-04-07;DAU;1711169.0
2019-04-08;DAU;1692879.0
2019-04-09;DAU;1875807.0
2019-04-10;DAU;1832489.0
2019-04-11;DAU;1874119.0
2019-04-12;DAU;1859229.0
2019-04-13;DAU;1830208.0
2019-04-14;DAU;1738061.0
2019-04-15;DAU;1799674.0
2019-04-16;DAU;1893898.0
2019-04-17;DAU;1846849.0
2019-04-18;DAU;1863488.0
2019-04-19;DAU;1864609.0
2019-04-20;DAU;1868615.0
2019-04-21;DAU;1749970.0
2019-04-22;DAU;1828413.0
2019-04-23;DAU;1916229.0
