Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,106135,"Bolaka Mukherjee","2015-05-27 11:12:31",0.33756,26,bolaka
2,181951,"Logical Guess","2015-05-29 14:35:32",0.34821,25,logicalguess
3,183720,"Louis Martin","2015-05-29 11:32:22",0.34834,18,louismartin
4,135568,"张 李","2015-01-01 04:59:53",0.34928,14,raoqiangwill
5,136670,rediculous,"2015-01-03 12:46:15",0.34928,5,rediculous
6,136000,just_did,"2015-01-03 08:51:41",0.34930,17,justdid0
7,120510,Greg,"2014-11-21 14:23:12",0.35570,47,greghr
8,149527,allmi,"2015-03-14 16:37:26",0.35595,9,allmendinger
9,127811,"Gopal Joshi","2014-11-25 07:05:17",0.35704,5,gopaljoshi
10,130057,"Steven Lee","2015-01-23 10:11:23",0.35783,23,netdbsss
11,145412,tsing,"2015-05-29 17:36:06",0.35867,4,vtsing
12,180220,ngon,"2015-05-29 03:04:57",0.35901,5,digigon
13,181428,jasonM,"2015-05-22 07:04:23",0.36064,26,mikado3
14,156092,ZTRON,"2015-03-26 16:47:54",0.36084,16,ztron312675
15,116827,junglee,"2014-09-17 04:39:28",0.36248,22,junglee1
16,181488,runningADA,"2015-05-26 09:59:31",0.36367,33,mikado4
17,105767,CodiLime.com,"2014-08-26 13:44:20",0.36380,391,"datarat,marian,miwanowski,robibok"
18,142361,sxzircon,"2015-05-04 19:33:45",0.36386,90,sxzircon
19,158744,"Sergey Tilga","2015-05-16 13:01:23",0.36445,113,tilgasergey
20,135022,piotrszul,"2015-02-28 02:36:33",0.36507,12,piotrszul
21,181783,nanjunxiao,"2015-05-29 01:58:58",0.36511,25,nanjunxiao
22,166225,KU_PR_15-1_4,"2015-05-27 14:50:22",0.36513,49,"gimmesilver,kupr1514,user338593"
23,180206,"min sangshik","2015-05-21 08:01:29",0.36515,34,mikado2
24,184471,saj1919,"2015-05-28 15:01:38",0.36544,23,saj1919
25,174063,"Arbitrary Jungle","2015-05-03 13:25:49",0.36546,26,flo12392
26,152539,"Jack Han","2015-04-14 11:00:54",0.36558,92,jackhan1
27,139675,mo,"2015-02-04 07:33:16",0.36607,10,terryzue
28,171503,Flyfish,"2015-05-06 07:36:24",0.36609,22,"loapui,wenger"
29,155717,"Ying Dong","2015-05-29 15:35:29",0.36674,76,yingdong
30,184121,BoilerUp,"2015-05-29 23:56:34",0.36682,22,"enhsinpeng,qifeng"
31,182821,"Endian Ogino","2015-05-26 22:32:29",0.36682,7,mrahbar
32,168705,"Calvin Schneider","2015-05-09 00:09:25",0.36718,56,calvinschneider
33,109082,LightSaber3,"2014-08-18 22:29:11",0.36723,48,"dougkang,vasantso,yingchan"
34,148297,"Alkis Gkotovos","2015-02-26 18:26:37",0.36754,20,alkisg
35,162278,"Piyush Pankaj","2015-04-17 13:25:35",0.36771,20,pkumarda
36,149038,MeSs,"2015-05-19 11:39:15",0.36771,17,dlopes
37,137618,"Akshay Patil","2015-05-07 02:37:14",0.36777,37,"akshaypatil,ankitadhawale,dataanalyzer,tejaswagh"
38,139225,"Giuseppe Casalicchio","2015-03-04 09:31:19",0.36782,15,casalicchio
39,159707,"Remarkable People","2015-05-29 08:32:35",0.36811,100,"del=16b99952a260aedf,dsokal,nighturs,yalchik"
