quarter;net_income (Millions of US $)
30.09.2025;$27,747
30.06.2025;$27,233
31.03.2025;$25,824
31.12.2024;$24,108
30.09.2024;$24,667
30.06.2024;$22,036
31.03.2024;$21,939
31.12.2023;$21,870
30.09.2023;$22,291
30.06.2023;$20,081
31.03.2023;$18,299
31.12.2022;$16,425
30.09.2022;$17,556
30.06.2022;$16,740
31.03.2022;$16,728
31.12.2021;$18,765
30.09.2021;$20,505
30.06.2021;$16,458
31.03.2021;$15,457
31.12.2020;$15,463
30.09.2020;$13,893
30.06.2020;$11,202
31.03.2020;$10,752
31.12.2019;$11,649
30.09.2019;$10,678
30.06.2019;$13,187
31.03.2019;$8,809
31.12.2018;$8,420
30.09.2018;$8,824
30.06.2018;$8,873
31.03.2018;$7,424
31.12.2017;$-6,302
30.09.2017;$6,576
30.06.2017;$8,069
31.03.2017;$5,486
31.12.2016;$6,267
30.09.2016;$5,667
30.06.2016;$6,863
31.03.2016;$3,756
31.12.2015;$5,018
30.09.2015;$4,902
30.06.2015;$-3,195
31.03.2015;$4,985
31.12.2014;$5,863
30.09.2014;$4,540
30.06.2014;$4,612
31.03.2014;$5,660
31.12.2013;$6,558
30.09.2013;$5,244
30.06.2013;$4,965
31.03.2013;$6,055
31.12.2012;$6,377
30.09.2012;$4,466
30.06.2012;$-492
31.03.2012;$5,108
31.12.2011;$6,624
30.09.2011;$5,738
30.06.2011;$5,874
31.03.2011;$5,232
31.12.2010;$6,634
